designation,source_id,ra,dec,parallax,pmra,pmdec,ruwe,phot_g_mean_mag,bp_rp,radial_velocity,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot
"Gaia DR3 713660978609830400",713660978609830400,134.51821561130964,34.693262516299214,2.642971092541737,15.417638611378276,13.625071564801875,0.9141041,9.000017,1.2768869,-17.261768,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,4546.123,2.4798,-0.2078,368.5435,0.0385,0.0297,0.0156
"Gaia DR3 1943115669398621952",1943115669398621952,350.08214213403454,49.719904315294784,1.9742773450293334,7.430552066139414,-2.3128073171989865,2.297379,9.000057,0.0068073273,-15.169301,"NOT_AVAILABLE",0,true,true,true,false,false,true,true,11715.309,3.9599,-1.4075,498.2954,0.2242,0.2179,0.1164
"Gaia DR3 2853064693614016384",2853064693614016384,359.9688734402041,25.210200866495075,6.712833323366014,33.67989570331384,-36.67746501571489,1.0409477,9.000064,0.638567,-9.967544,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,6292.5884,4.0846,-0.0842,147.1697,0.0017,0.0015,8.0E-4
"Gaia DR3 4285502944754914304",4285502944754914304,281.18252738768507,5.947441052065931,1.5002205898903869,-4.767319854622834,-18.45725966832121,0.8784081,9.000065,1.990345,32.376682,"NOT_AVAILABLE",0,true,true,false,false,false,false,true,,,,,,,
"Gaia DR3 394809890821645824",394809890821645824,6.56610380578833,51.064843254903444,3.116980108647612,-0.39542440091910036,5.855162081555079,0.9207618,9.000068,0.11119938,6.1425986,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,9785.031,4.1972,0.0546,339.768,0.2677,0.2559,0.136
"Gaia DR3 2227464842523745024",2227464842523745024,350.8907265405781,71.30260495204828,0.7247327258505748,3.1811830496188804,0.2801137387607115,0.9874379,9.0000925,3.8976126,-37.74346,"VARIABLE",0,true,true,true,true,false,false,true,3610.3752,0.7447,0.7987,1085.299,3.2358,1.9291,1.2831
"Gaia DR3 1078376957001977216",1078376957001977216,159.27362416610546,73.80274489631492,1.9588723380556903,0.3202666551150668,-11.921304166696498,1.0251714,9.0000925,1.3347645,-18.116795,"NOT_AVAILABLE",0,true,true,false,false,false,false,true,,,,,,,
"Gaia DR3 338403982242362368",338403982242362368,37.67671877502093,40.701694284590126,1.6665986816596836,-3.205988092220428,-0.8305636144531503,1.4105732,9.000099,0.3626423,-18.181,"NOT_AVAILABLE",0,true,true,false,false,false,false,true,,,,,,,
"Gaia DR3 1184921042482386048",1184921042482386048,222.6844896129443,13.961153613356661,10.159408670125078,24.098862560081713,-17.8823049897922,0.9472223,9.000102,0.78705597,3.950932,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,5772.9253,4.2551,-0.1367,98.0746,9.0E-4,8.0E-4,4.0E-4
"Gaia DR3 1301622553820462848",1301622553820462848,244.61101854229932,22.660346067313654,1.6946173836929042,0.9667997020528134,1.698001332777539,0.9941913,9.000105,1.3835068,2.864206,"NOT_AVAILABLE",0,true,true,false,false,false,false,true,,,,,,,
"Gaia DR3 1963957638163952256",1963957638163952256,319.86129465446544,37.24427926020767,2.1291117686179715,3.4459669757068774,-1.2003283144778703,0.9943413,9.000126,0.053447723,-8.5911665,"NOT_AVAILABLE",0,true,true,false,false,false,false,true,,,,,,,
"Gaia DR3 1591907711045896576",1591907711045896576,221.4400948035879,50.21690582825232,2.076633639321866,-17.637865614213272,-13.008389207641585,0.8888804,9.000132,1.1760521,-25.100327,"NOT_AVAILABLE",0,true,true,false,false,false,false,true,,,,,,,
"Gaia DR3 4507449468571949824",4507449468571949824,283.06988812762665,15.112688170740826,0.9330461635330167,4.709735474384293,1.0435305332648523,0.8616218,9.000142,2.162623,-2.1769311,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,4800.0635,1.8143,0.0683,876.4686,2.5762,1.869,0.9919
"Gaia DR3 413687371605125120",413687371605125120,17.98050076869948,58.25111400135846,1.4525712014353906,-4.845717173520297,-0.24184472531164142,0.96728975,9.000181,0.1812334,,"NOT_AVAILABLE",0,true,true,false,false,false,false,true,,,,,,,
"Gaia DR3 1099856397686891136",1099856397686891136,105.68119750442118,63.94660200042631,2.837291296631776,-1.8823197968616037,-2.5630373512003914,1.0743794,9.000199,0.09103489,-3.6972325,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,9750.99,4.0514,-0.7893,350.5177,0.2063,0.1975,0.1051
"Gaia DR3 654095760809753344",654095760809753344,121.88376525707011,14.999586186491264,5.9642999489519175,-14.961231160983747,-8.579414771974053,7.2485356,9.00021,0.55007267,27.969614,"NOT_AVAILABLE",0,true,true,true,false,false,true,true,6626.9453,4.0666,-0.2582,167.1366,0.0119,0.0104,0.0056
"Gaia DR3 208447033601070336",208447033601070336,80.03255210522063,44.64212290008781,0.8568107182764823,-0.3615567969624969,-1.6261254611782434,0.92521405,9.000211,0.23958683,15.76502,"NOT_AVAILABLE",0,true,true,false,false,false,false,true,7459.8774,2.8559,-1.6327,1211.0726,1.0E-4,1.0E-4,0.0
